Time,Delta Time,X,Y,Z
606,0,344,335,459
707,101,341,339,458
808,101,342,333,461
504,-304,341,342,457
606,102,344,335,459
707,101,341,339,458
808,101,342,333,461
100,-708,341,334,460
201,101,341,339,457
303,102,339,336,459
404,101,342,337,459
504,100,344,336,458
606,102,343,336,458
707,101,340,335,457
808,101,341,338,460
909,101,343,335,458
1010,101,340,336,459
1112,102,343,337,457
1213,101,342,335,460
1314,101,343,334,459
1415,101,342,334,459
1516,101,342,335,457
1617,101,339,335,459
1719,102,343,337,457
1820,101,341,336,460
1922,102,342,337,458
2022,100,343,336,460
2123,101,343,335,457
2225,102,343,336,457
2326,101,342,336,457
2427,101,342,336,458
2528,101,342,337,461
2629,101,341,336,458
2731,102,343,336,459
2832,101,341,336,458
2933,101,341,338,460
3034,101,341,338,460
3135,101,342,337,458
3236,101,342,336,461
3338,102,342,337,458
3439,101,340,336,458
3540,101,340,336,461
3641,101,343,336,460
3742,101,342,337,460
3844,102,341,336,462
3945,101,344,337,457
4046,101,343,338,459
4147,101,339,338,460
4248,101,341,336,461
4349,101,343,334,458
4451,102,341,336,460
4552,101,344,335,461
4653,101,341,336,457
4754,101,340,337,460
4855,101,343,336,460
4957,102,340,336,460
5058,101,344,332,458
5158,100,342,337,459
5260,102,343,337,459
5361,101,342,337,460
5463,102,341,338,458
5564,101,342,336,459
5665,101,343,336,459
5766,101,342,337,458
5867,101,343,337,460
5968,101,344,335,459
6070,102,340,335,461
6171,101,343,335,460
6272,101,341,336,461
6373,101,340,336,460
6474,101,341,339,459
6576,102,342,337,457
6677,101,340,338,457
6778,101,342,337,457
6879,101,342,335,460
6980,101,342,336,459
7081,101,342,338,457
7183,102,343,336,458
7284,101,343,335,456
7385,101,342,337,461
7486,101,343,337,460
7587,101,341,338,460
7689,102,341,336,461
7790,101,341,333,459
7890,100,343,335,458
7992,102,341,336,459
8093,101,340,337,458
8195,102,346,336,457
8296,101,342,335,460
8396,100,342,333,459
8498,102,342,337,459
8599,101,342,336,460
8700,101,341,335,459
8802,102,342,336,456
8903,101,341,338,460
9004,101,342,336,460
9105,101,344,337,455
9206,101,343,338,459
9308,102,342,338,460
9409,101,339,337,459
9509,100,343,337,459
9611,102,340,337,460
9712,101,343,336,461
9814,102,343,335,459
9915,101,341,336,460
10016,101,340,337,461
10117,101,340,336,457
10218,101,342,336,458
10319,101,342,338,460
10421,102,342,337,459
10522,101,341,335,459
10624,102,342,337,459
10725,101,342,336,457
10825,100,342,336,460
10927,102,342,336,460
11028,101,340,337,460
11129,101,341,336,459
11231,102,341,338,458
11332,101,341,339,459
11433,101,341,335,460
11534,101,340,338,459
11635,101,343,337,458
11737,102,344,337,460
11838,101,340,337,457
11939,101,340,337,460
12041,102,343,335,463
12142,101,342,336,458
12242,100,344,334,458
12344,102,343,337,460
12445,101,341,337,459
12547,102,342,334,460
12648,101,343,337,458
12749,101,343,335,461
12851,102,345,335,460
12951,100,343,337,459
13052,101,340,336,460
13154,102,341,338,461
13255,101,344,334,461
13357,102,342,336,459
13458,101,341,338,459
13559,101,341,337,456
13660,101,342,335,459
13761,101,344,337,459
13862,101,340,336,461
13964,102,339,335,459
14065,101,341,335,458
14167,102,340,339,459
14268,101,341,337,459
14368,100,343,336,456
14470,102,343,336,460
14571,101,342,336,455
14672,101,341,336,457
14774,102,343,335,460
14875,101,340,335,457
14977,102,341,337,459
15077,100,344,336,459
15178,101,342,337,458
15280,102,344,337,462
15381,101,341,337,461
15482,101,343,338,460
15584,102,342,336,459
15685,101,340,335,458
15785,100,342,335,461
15887,102,342,337,459
15988,101,342,334,459
16090,102,342,336,459
16191,101,341,335,462
16292,101,341,335,459
16394,102,342,334,459
16494,100,342,336,460
16595,101,343,334,461
16697,102,343,335,460
16798,101,342,339,457
16900,102,340,338,458
17001,101,345,337,459
17102,101,344,337,460
17203,101,344,335,458
17304,101,343,335,459
17405,101,343,336,462
17507,102,341,336,459
17608,101,343,336,457
17710,102,341,335,459
17811,101,342,339,457
17911,100,342,336,458
18013,102,342,336,461
18114,101,342,334,460
18215,101,342,334,458
18317,102,341,338,456
18418,101,342,336,460
18520,102,340,336,457
18620,100,342,336,459
18721,101,342,337,461
18823,102,342,334,462
18924,101,342,338,458
19025,101,342,336,458
19127,102,342,338,460
19228,101,343,337,458
19329,101,342,335,460
19430,101,342,335,460
19531,101,340,336,458
19633,102,342,336,459
19734,101,341,337,459
19835,101,343,336,459
19937,102,342,337,461
20037,100,343,336,461
20139,102,342,334,460
20240,101,341,335,457
20341,101,341,336,462
20443,102,341,336,459
20544,101,340,336,459
20645,101,341,338,457
20746,101,342,337,459
20847,101,340,335,459
20948,101,344,336,460
21050,102,342,336,459
21151,101,342,335,460
21253,102,344,337,459
21354,101,343,335,457
21454,100,341,335,459
21556,102,341,338,457
21657,101,344,335,458
21758,101,342,336,459
21860,102,342,336,459
21961,101,345,335,458
22063,102,341,337,458
22163,100,343,334,459
22264,101,340,338,459
22366,102,346,334,459
22467,101,346,335,458
22568,101,343,336,460
22670,102,340,337,459
22771,101,343,335,459
22872,101,346,335,458
22973,101,344,336,460
23074,101,341,337,461
23176,102,341,335,460
23277,101,345,336,458
23378,101,340,338,461
23480,102,345,334,459
23580,100,340,336,458
23682,102,342,334,459
23783,101,339,336,458
23884,101,344,337,462
23986,102,340,338,459
24087,101,340,336,460
24188,101,342,337,459
24289,101,342,338,459
24390,101,341,337,460
24492,102,344,336,460
24593,101,344,337,460
24694,101,344,335,458
24796,102,340,337,459
24897,101,343,338,460
24997,100,345,335,457
25099,102,344,336,457
25200,101,341,336,460
25302,102,343,336,459
25403,101,341,336,458
25504,101,342,335,459
25606,102,342,336,458
25706,100,342,338,460
25807,101,342,335,458
25909,102,344,336,461
26010,101,342,338,459
26112,102,343,337,460
26213,101,342,338,459
26314,101,342,337,457
26415,101,341,336,461
26516,101,342,337,459
26617,101,342,336,462
26719,102,342,334,457
26820,101,341,335,460
26921,101,342,337,460
27023,102,341,334,460
27123,100,341,336,458
27225,102,342,336,457
27326,101,343,335,457
27427,101,341,335,459
27529,102,339,337,461
27630,101,339,336,459
27731,101,341,336,460
27832,101,342,338,459
27933,101,341,335,458
28035,102,340,339,458
28136,101,339,337,460
28237,101,339,337,460
28339,102,342,335,459
28440,101,342,338,460
28540,100,345,334,459
28642,102,341,337,459
28743,101,342,337,460
28845,102,343,337,459
28946,101,342,335,461
29047,101,340,336,459
29149,102,345,334,457
29249,100,343,336,457
29350,101,341,337,458
29452,102,340,335,459
29553,101,343,338,459
29655,102,340,339,459
29756,101,343,336,458
29857,101,340,336,459
29958,101,343,337,457
30059,101,341,338,459
30160,101,339,337,458
30262,102,344,338,461
30363,101,342,335,459
30465,102,342,336,461
30566,101,344,336,459
30666,100,339,336,461
30768,102,345,338,460
30869,101,342,335,459
30970,101,342,337,460
31072,102,340,339,460
31173,101,342,336,457
31275,102,342,337,458
31375,100,342,335,458
31476,101,343,336,459
31578,102,339,338,458
31679,101,343,337,458
31780,101,343,336,458
31882,102,341,336,457
31983,101,341,335,459
32083,100,340,336,459
32185,102,343,337,460
32286,101,343,338,459
32388,102,343,337,463
32489,101,341,338,457
32590,101,342,338,458
32692,102,344,335,459
32792,100,341,337,458
32893,101,340,338,459
32995,102,340,335,457
33096,101,343,336,460
33198,102,344,335,458
33299,101,341,336,459
33400,101,343,334,459
33501,101,342,339,460
33602,101,343,340,459
33703,101,341,334,458
33805,102,342,337,458
33906,101,342,336,458
34008,102,341,337,460
34109,101,343,337,460
34209,100,343,336,459
34311,102,343,334,460
34412,101,343,334,459
34513,101,341,335,460
34615,102,338,336,460
34716,101,343,338,458
34818,102,342,336,460
34918,100,342,336,459
35019,101,341,336,458
35121,102,341,336,458
35222,101,341,337,459
35323,101,342,336,459
35425,102,344,335,457
35526,101,343,336,461
35627,101,341,335,459
35728,101,341,336,461
35829,101,341,335,459
35931,102,342,337,457
36032,101,342,334,457
36133,101,343,336,460
36235,102,343,336,458
36335,100,343,336,459
36436,101,342,335,459
36538,102,340,335,459
36639,101,341,333,458
36741,102,340,337,459
36842,101,341,335,460
36943,101,340,335,457
37044,101,343,337,459
37145,101,342,337,457
37246,101,343,336,459
37348,102,342,335,459
37449,101,344,334,460
37551,102,341,336,460
37652,101,341,337,457
37752,100,342,334,458
37854,102,342,339,458
37955,101,341,335,460
38056,101,342,340,459
38158,102,342,336,460
38259,101,344,338,459
38361,102,344,336,457
38461,100,342,335,462
38562,101,343,337,460
38664,102,346,336,459
38765,101,342,335,459
38866,101,340,336,458
38968,102,342,337,459
39069,101,343,336,458
39170,101,339,335,459
39271,101,340,334,458
39372,101,340,336,460
39474,102,344,336,459
39575,101,341,336,459
39676,101,343,337,457
39778,102,341,337,460
39878,100,343,337,459
39980,102,343,334,462
40081,101,341,336,461
40182,101,342,337,459
40284,102,342,338,458
40385,101,342,337,460
40486,101,342,336,457
40587,101,342,337,461
40688,101,340,338,460
40790,102,341,340,458
40891,101,342,337,459
40992,101,343,335,459
41094,102,345,336,460
41195,101,342,335,459
41295,100,343,338,458
41397,102,341,336,459
41498,101,340,335,460
41600,102,343,337,458
41701,101,344,336,459
41802,101,344,338,462
41904,102,342,334,462
42004,100,341,336,462
42105,101,341,339,456
42207,102,341,337,460
42308,101,344,336,461
42409,101,343,337,461
42511,102,340,336,458
42612,101,343,335,461
42713,101,342,337,458
42814,101,342,337,460
42915,101,341,336,460
43017,102,343,336,459
43118,101,344,335,460
43219,101,340,337,456
43321,102,343,338,460
43421,100,342,334,458
43523,102,341,335,460
43624,101,341,338,457
43725,101,342,336,455
43827,102,341,336,460
43928,101,341,335,462
44029,101,343,333,459
44130,101,343,336,459
44231,101,341,337,457
44333,102,341,336,460
44434,101,343,335,459
44535,101,343,337,461
44637,102,342,336,458
44738,101,341,336,458
44838,100,339,337,461
44940,102,343,334,458
45041,101,342,335,460
45143,102,342,336,459
45244,101,342,336,459
45345,101,344,333,459
45447,102,344,335,458
45547,100,339,337,460
45648,101,342,336,460
45750,102,345,332,459
45851,101,343,338,461
45953,102,343,336,459
46054,101,344,337,459
46155,101,343,334,459
46256,101,341,337,462
46357,101,341,335,461
46458,101,343,337,458
46560,102,344,334,461
46661,101,341,337,457
46763,102,342,336,462
46864,101,341,337,458
46964,100,342,334,458
47066,102,344,339,458
47167,101,341,336,458
47268,101,342,337,457
47370,102,345,337,460
47471,101,342,334,462
47572,101,343,336,458
47673,101,343,335,459
47774,101,342,338,461
47876,102,339,338,459
47977,101,344,335,460
48078,101,343,337,458
48180,102,341,337,457
48281,101,341,337,461
48381,100,341,340,457
48483,102,341,335,461
48584,101,339,337,461
48686,102,342,338,458
48787,101,340,338,460
48888,101,343,335,456
48990,102,340,338,461
49090,100,342,334,463
49191,101,342,337,455
49293,102,343,335,457
49394,101,340,335,459
49496,102,341,335,460
49597,101,341,335,459
49698,101,341,336,457
49799,101,344,336,458
49900,101,342,339,456
50001,101,342,335,459
50103,102,343,334,461
50204,101,342,337,459
50306,102,343,336,459
50407,101,340,336,461
50507,100,345,335,458
50609,102,343,338,461
50710,101,344,336,457
50811,101,341,336,459
50913,102,338,339,462
51014,101,342,336,456
51116,102,340,336,457
51216,100,341,337,459
51317,101,343,337,459
51419,102,341,333,460
51520,101,340,336,456
51621,101,342,338,458
51723,102,343,338,457
51824,101,344,336,460
51924,100,341,335,461
52026,102,341,336,459
52127,101,343,336,462
52229,102,344,335,461
52330,101,342,336,456
52431,101,342,338,458
52533,102,343,336,457
52633,100,342,338,458
52734,101,342,336,458
52836,102,341,335,460
52937,101,341,337,459
53039,102,342,338,459
53140,101,345,335,459
53241,101,341,338,460
53342,101,342,336,458
53443,101,343,335,460
53544,101,340,337,458
53646,102,342,335,459
53747,101,343,338,459
53849,102,341,335,460
53950,101,343,337,461
54050,100,343,334,461
54152,102,341,337,460
54253,101,341,337,458
54354,101,341,335,460
54456,102,344,336,457
54557,101,342,337,458
54659,102,344,335,461
54759,100,343,335,459
54860,101,342,336,459
54962,102,339,336,459
55063,101,344,336,460
