Time,Delta Time,X,Y,Z
590789,0,340,327,439
590891,102,346,266,572
590586,-305,350,310,472
590688,102,335,319,456
590789,101,340,327,439
590891,102,346,266,572
0,-590891,499,310,542
100,100,484,349,425
201,101,422,356,390
303,102,350,339,357
404,101,274,328,367
504,100,232,304,454
606,102,243,273,553
707,101,437,287,612
808,101,448,299,516
909,101,451,354,417
1010,101,414,355,400
1112,102,345,340,360
1213,101,292,339,362
1314,101,268,317,444
1415,101,257,285,570
1516,101,447,281,628
1617,101,475,329,482
1719,102,473,343,429
1820,101,427,355,368
1922,102,344,345,324
2022,100,267,328,376
2123,101,207,271,504
2225,102,354,285,581
2326,101,467,310,559
2427,101,503,345,437
2528,101,435,357,356
2629,101,318,335,319
2731,102,219,309,377
2832,101,224,280,516
2933,101,374,272,612
3034,101,524,317,553
3135,101,464,328,437
3236,101,415,367,347
3338,102,344,345,331
3439,101,245,311,381
3540,101,201,276,524
3641,101,332,252,587
3742,101,554,278,602
3844,102,484,335,402
3945,101,421,344,343
4046,101,312,336,334
4147,101,243,314,407
4248,101,225,279,519
4349,101,385,255,595
4451,102,527,321,555
4552,101,494,351,411
4653,101,404,344,365
4754,101,336,338,335
4855,101,234,320,389
4957,102,261,292,512
5058,101,349,272,593
5159,101,516,322,552
5260,101,495,349,436
5361,101,427,363,354
5463,102,364,347,334
5564,101,272,323,362
5665,101,219,294,449
5766,101,328,266,590
5867,101,461,304,594
5968,101,468,328,492
6070,102,462,360,357
6171,101,334,299,352
6272,101,293,350,374
6373,101,250,347,445
6474,101,271,272,533
6576,102,426,282,617
6677,101,473,331,508
6777,100,449,354,408
6879,102,390,355,360
6980,101,311,353,363
7081,101,294,336,406
7183,102,230,320,469
7284,101,316,269,604
7385,101,501,319,573
7486,101,470,338,472
7587,101,432,375,361
7689,102,378,351,337
7790,101,270,339,368
7890,100,273,321,459
7992,102,304,285,565
8093,101,481,311,586
8195,102,513,347,504
8296,101,445,355,406
8396,100,385,354,355
8498,102,307,341,365
8599,101,253,320,415
8700,101,248,300,524
8802,102,407,300,596
8903,101,491,340,516
9004,101,483,354,430
9105,101,412,362,365
9206,101,328,342,355
9308,102,257,334,387
9409,101,247,316,478
9509,100,363,280,578
9611,102,470,310,564
9712,101,508,342,480
9814,102,454,362,388
9915,101,384,351,347
10016,101,303,351,365
10117,101,289,324,419
10218,101,270,287,512
10319,101,434,266,605
10421,102,482,326,502
10522,101,462,354,416
10624,102,408,372,333
10725,101,345,351,360
10825,100,305,342,390
10927,102,236,297,472
11028,101,296,236,571
11129,101,506,313,569
11231,102,445,335,449
11332,101,441,374,361
11433,101,408,366,341
11534,101,308,338,357
11635,101,277,317,434
11737,102,238,269,509
11838,101,457,262,623
11939,101,469,312,522
12041,102,444,350,426
